Generation,phylogenetic_diversity,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness
2720,56088,1630.08,1,3802,2.6759e+06,-1,-1,-1,0
2730,56424,1653.9,1,3814,2.68564e+06,-1,-1,-1,0
2740,56654,1629.25,1,3827,2.7862e+06,-1,-1,-1,0
2750,56815,1690.03,1,3840,2.83025e+06,-1,-1,-1,0
2760,56472,1690.27,1,3855,2.90753e+06,-1,-1,-1,0
2770,56824,1748.37,1,3867,2.8273e+06,-1,-1,-1,0
2780,57246,1561.97,1,3881,2.77207e+06,-1,-1,-1,0
2790,57360,1610.49,1,3894,2.82245e+06,-1,-1,-1,0
2800,57690,1639.74,1,3908,2.8963e+06,-1,-1,-1,0
2810,58031,1605.29,1,3923,3.0046e+06,-1,-1,-1,0
2820,58507,1720.22,1,3939,2.96738e+06,-1,-1,-1,0
2830,58766,1805.2,1,3951,3.06355e+06,-1,-1,-1,0
2840,58977,1831.66,1,3967,2.98751e+06,-1,-1,-1,0
2850,59323,1684.51,1,3983,3.03514e+06,-1,-1,-1,0
2860,59710,1773.89,1,3999,3.04547e+06,-1,-1,-1,0
2870,59927,1710.44,1,4011,2.99812e+06,-1,-1,-1,0
2880,58341,1604.08,1,4022,3.08407e+06,-1,-1,-1,0
2890,58715,1726.84,1,4035,3.03784e+06,-1,-1,-1,0
2900,58980,1853.1,1,4049,3.12012e+06,-1,-1,-1,0
2910,59332,1837.62,1,4062,3.13041e+06,-1,-1,-1,0
2920,59605,1813.36,1,4075,3.17859e+06,-1,-1,-1,0
2930,60143,1769.42,1,4092,3.1735e+06,-1,-1,-1,0
2940,60412,1728.67,1,4103,3.14896e+06,-1,-1,-1,0
2950,60659,1824.76,1,4117,3.20466e+06,-1,-1,-1,0
2960,60955,1760.9,1,4133,3.2079e+06,-1,-1,-1,0
2970,61009,1813.01,1,4148,3.37552e+06,-1,-1,-1,0
2980,61445,1914.63,1,4158,3.31412e+06,-1,-1,-1,0
2990,61671,1810.1,1,4173,3.16841e+06,-1,-1,-1,0
3000,62121,2002.64,1,4191,3.37578e+06,-1,-1,-1,0
3010,62331,1798.35,1,4206,3.32474e+06,-1,-1,-1,0
3020,62604,1849.05,1,4223,3.38753e+06,-1,-1,-1,0
3030,62311,1915.21,1,4235,3.31266e+06,-1,-1,-1,0
3040,62615,2011.48,1,4253,3.48409e+06,-1,-1,-1,0
3050,62949,1925.04,1,4268,3.51296e+06,-1,-1,-1,0
3060,63340,1894.76,1,4284,3.53796e+06,-1,-1,-1,0
3070,63564,1885.1,1,4297,3.38391e+06,-1,-1,-1,0
3080,64053,1902.71,1,4309,3.44942e+06,-1,-1,-1,0
3090,64248,1933.66,1,4323,3.53357e+06,-1,-1,-1,0
3100,64607,2020.68,1,4341,3.65685e+06,-1,-1,-1,0
3110,65124,1954.78,1,4354,3.50547e+06,-1,-1,-1,0
3120,65246,1938.76,1,4368,3.64771e+06,-1,-1,-1,0
3130,65446,2005.96,1,4384,3.59844e+06,-1,-1,-1,0
3140,65723,1940.26,1,4404,3.70727e+06,-1,-1,-1,0
3150,65980,1965.71,1,4418,3.68853e+06,-1,-1,-1,0
3160,66336,2037.83,1,4433,3.67875e+06,-1,-1,-1,0
3170,66614,2021.52,1,4451,3.60794e+06,-1,-1,-1,0
3180,66980,1995,1,4459,3.71155e+06,-1,-1,-1,0
3190,67028,1950.83,1,4475,3.59071e+06,-1,-1,-1,0
3200,67354,1952.7,1,4487,3.76874e+06,-1,-1,-1,0
3210,66880,2032.23,1,4504,3.83051e+06,-1,-1,-1,0
3220,67176,1867.83,1,4517,3.75127e+06,-1,-1,-1,0
3230,67653,2139.07,1,4533,4.10435e+06,-1,-1,-1,0
3240,67889,2049.3,1,4549,3.92758e+06,-1,-1,-1,0
3250,68317,1981.25,1,4564,3.83532e+06,-1,-1,-1,0
3260,68547,1994.78,1,4580,3.85016e+06,-1,-1,-1,0
3270,68847,2046.95,1,4596,3.95858e+06,-1,-1,-1,0
3280,69202,2147.16,1,4614,4.01802e+06,-1,-1,-1,0
3290,69573,2109.17,1,4629,3.96817e+06,-1,-1,-1,0
3300,69759,2060.85,1,4642,3.93111e+06,-1,-1,-1,0
3310,69796,2100.34,1,4653,4.09159e+06,-1,-1,-1,0
3320,69812,2121.9,1,4670,4.11277e+06,-1,-1,-1,0
3330,70114,2043.4,1,4687,4.13225e+06,-1,-1,-1,0
3340,70339,2103.03,1,4697,4.11905e+06,-1,-1,-1,0
3350,70665,2173.95,1,4715,4.20962e+06,-1,-1,-1,0
3360,70775,2128.37,1,4731,4.13347e+06,-1,-1,-1,0
3370,71094,2201.87,1,4746,4.35482e+06,-1,-1,-1,0
3380,71498,2119.97,1,4757,4.26979e+06,-1,-1,-1,0
3390,70603,2179.86,1,4770,4.35631e+06,-1,-1,-1,0
3400,70904,2208.51,1,4786,4.39389e+06,-1,-1,-1,0
3410,71206,2270.91,1,4802,4.49283e+06,-1,-1,-1,0
3420,71660,2202.88,1,4816,4.47628e+06,-1,-1,-1,0
3430,71995,2244.07,1,4833,4.56128e+06,-1,-1,-1,0
3440,72097,2316.74,1,4850,4.65984e+06,-1,-1,-1,0
3450,70423,2259.67,1,4864,4.70068e+06,-1,-1,-1,0
3460,69609,2161.24,1,4868,4.79569e+06,-1,-1,-1,0
3470,69860,2112.5,1,4886,4.63319e+06,-1,-1,-1,0
3480,69468,2130.3,1,4902,4.79295e+06,-1,-1,-1,0
3490,68724,2059.07,1,4912,4.72158e+06,-1,-1,-1,0
3500,69011,2158.58,1,4930,4.79432e+06,-1,-1,-1,0
3510,69067,2030.54,1,4940,4.7365e+06,-1,-1,-1,0
3520,69428,2128.15,1,4956,4.8103e+06,-1,-1,-1,0
3530,69816,2110,1,4972,4.95301e+06,-1,-1,-1,0
3540,70113,2031.03,1,4985,4.83399e+06,-1,-1,-1,0
3550,70319,2235.47,1,4994,5.03218e+06,-1,-1,-1,0
3560,70564,2265.09,1,5008,5.04123e+06,-1,-1,-1,0
